Wvlgth,Global_horizn_irradiance
.2800E+03,.2254E-18
.2810E+03,.8180E-17
.2820E+03,.4357E-15
.2830E+03,.3285E-14
.2840E+03,.4627E-13
.2850E+03,.1460E-12
.2860E+03,.2682E-11
.2870E+03,.1938E-10
.2880E+03,.2129E-09
.2890E+03,.1774E-08
.2900E+03,.1486E-07
.2910E+03,.6903E-07
.2920E+03,.4865E-06
.2930E+03,.1663E-05
.2940E+03,.6859E-05
.2950E+03,.1613E-04
.2960E+03,.6122E-04
.2970E+03,.1123E-03
.2980E+03,.3612E-03
.2990E+03,.8242E-03
.3000E+03,.1195E-02
.3010E+03,.3025E-02
.3020E+03,.3058E-02
.3030E+03,.1061E-01
.3040E+03,.1109E-01
.3050E+03,.2210E-01
.3060E+03,.2209E-01
.3070E+03,.3943E-01
.3080E+03,.4928E-01
.3090E+03,.4685E-01
.3100E+03,.5100E-01
.3110E+03,.9798E-01
.3120E+03,.9193E-01
.3130E+03,.1128E+00
.3140E+03,.1376E+00
.3150E+03,.1497E+00
.3160E+03,.1084E+00
.3170E+03,.1862E+00
.3180E+03,.1489E+00
.3190E+03,.2073E+00
.3200E+03,.2120E+00
.3210E+03,.2167E+00
.3220E+03,.2312E+00
.3230E+03,.1940E+00
.3240E+03,.2666E+00
.3250E+03,.2424E+00
.3260E+03,.3643E+00
.3270E+03,.3600E+00
.3280E+03,.3189E+00
.3290E+03,.3820E+00
.3300E+03,.4352E+00
.3310E+03,.3628E+00
.3320E+03,.3871E+00
.3330E+03,.3779E+00
.3340E+03,.3569E+00
.3350E+03,.3910E+00
.3360E+03,.3024E+00
.3370E+03,.2952E+00
.3380E+03,.3688E+00
.3390E+03,.3981E+00
.3400E+03,.4714E+00
.3410E+03,.3955E+00
.3420E+03,.4336E+00
.3430E+03,.4487E+00
.3440E+03,.3217E+00
.3450E+03,.4151E+00
.3460E+03,.3593E+00
.3470E+03,.4358E+00
.3480E+03,.4007E+00
.3490E+03,.3712E+00
.3500E+03,.4568E+00
.3510E+03,.4272E+00
.3520E+03,.4470E+00
.3530E+03,.4398E+00
.3540E+03,.4809E+00
.3550E+03,.4867E+00
.3560E+03,.4641E+00
.3570E+03,.3245E+00
.3580E+03,.3156E+00
.3590E+03,.3792E+00
.3600E+03,.5122E+00
.3610E+03,.3705E+00
.3620E+03,.3696E+00
.3630E+03,.4584E+00
.3640E+03,.5166E+00
.3650E+03,.4457E+00
.3660E+03,.5938E+00
.3670E+03,.5439E+00
.3680E+03,.4911E+00
.3690E+03,.5369E+00
.3700E+03,.6110E+00
.3710E+03,.5085E+00
.3720E+03,.4184E+00
.3730E+03,.5122E+00
.3740E+03,.4849E+00
.3750E+03,.3908E+00
.3760E+03,.4797E+00
.3770E+03,.5278E+00
.3780E+03,.6732E+00
.3790E+03,.5241E+00
.3800E+03,.4936E+00
.3810E+03,.6011E+00
.3820E+03,.4235E+00
.3830E+03,.3350E+00
.3840E+03,.3543E+00
.3850E+03,.5161E+00
.3860E+03,.4132E+00
.3870E+03,.4515E+00
.3880E+03,.4675E+00
.3890E+03,.4986E+00
.3900E+03,.6066E+00
.3910E+03,.6578E+00
.3920E+03,.5622E+00
.3930E+03,.2820E+00
.3940E+03,.4178E+00
.3950E+03,.6470E+00
.3960E+03,.5669E+00
.3970E+03,.2506E+00
.3980E+03,.7077E+00
.3990E+03,.7970E+00
.4000E+03,.8182E+00
.4010E+03,.8356E+00
.4020E+03,.8870E+00
.4030E+03,.8465E+00
.4040E+03,.8293E+00
.4050E+03,.8258E+00
.4060E+03,.8177E+00
.4070E+03,.8098E+00
.4080E+03,.8316E+00
.4090E+03,.8886E+00
.4100E+03,.7769E+00
.4110E+03,.8430E+00
.4120E+03,.9116E+00
.4130E+03,.8772E+00
.4140E+03,.8915E+00
.4150E+03,.8980E+00
.4160E+03,.9211E+00
.4170E+03,.8959E+00
.4180E+03,.8766E+00
.4190E+03,.8873E+00
.4200E+03,.8806E+00
.4210E+03,.9224E+00
.4220E+03,.8757E+00
.4230E+03,.8567E+00
.4240E+03,.9030E+00
.4250E+03,.9055E+00
.4260E+03,.8913E+00
.4270E+03,.8703E+00
.4280E+03,.8415E+00
.4290E+03,.8050E+00
.4300E+03,.7052E+00
.4310E+03,.6913E+00
.4320E+03,.9011E+00
.4330E+03,.9069E+00
.4340E+03,.8364E+00
.4350E+03,.8656E+00
.4360E+03,.9831E+00
.4370E+03,.9795E+00
.4380E+03,.8968E+00
.4390E+03,.9070E+00
.4400E+03,.9430E+00
.4410E+03,.9906E+00
.4420E+03,.1066E+01
.4430E+03,.1035E+01
.4440E+03,.1051E+01
.4450E+03,.1016E+01
.4460E+03,.9821E+00
.4470E+03,.1064E+01
.4480E+03,.1058E+01
.4490E+03,.1080E+01
.4500E+03,.1118E+01
.4510E+03,.1157E+01
.4520E+03,.1114E+01
.4530E+03,.1047E+01
.4540E+03,.1099E+01
.4550E+03,.1101E+01
.4560E+03,.1130E+01
.4570E+03,.1152E+01
.4580E+03,.1102E+01
.4590E+03,.1104E+01
.4600E+03,.1103E+01
.4610E+03,.1130E+01
.4620E+03,.1145E+01
.4630E+03,.1122E+01
.4640E+03,.1109E+01
.4650E+03,.1104E+01
.4660E+03,.1121E+01
.4670E+03,.1089E+01
.4680E+03,.1105E+01
.4690E+03,.1117E+01
.4700E+03,.1082E+01
.4710E+03,.1081E+01
.4720E+03,.1137E+01
.4730E+03,.1122E+01
.4740E+03,.1110E+01
.4750E+03,.1122E+01
.4760E+03,.1099E+01
.4770E+03,.1106E+01
.4780E+03,.1137E+01
.4790E+03,.1127E+01
.4800E+03,.1125E+01
.4810E+03,.1149E+01
.4820E+03,.1160E+01
.4830E+03,.1151E+01
.4840E+03,.1127E+01
.4850E+03,.1072E+01
.4860E+03,.9358E+00
.4870E+03,.9825E+00
.4880E+03,.1070E+01
.4890E+03,.1065E+01
.4900E+03,.1130E+01
.4910E+03,.1119E+01
.4920E+03,.1056E+01
.4930E+03,.1088E+01
.4940E+03,.1095E+01
.4950E+03,.1103E+01
.4960E+03,.1110E+01
.4970E+03,.1131E+01
.4980E+03,.1085E+01
.4990E+03,.1103E+01
.5000E+03,.1073E+01
.5010E+03,.1053E+01
.5020E+03,.1035E+01
.5030E+03,.1075E+01
.5040E+03,.1051E+01
.5050E+03,.1080E+01
.5060E+03,.1124E+01
.5070E+03,.1072E+01
.5080E+03,.1038E+01
.5090E+03,.1062E+01
.5100E+03,.1054E+01
.5110E+03,.1083E+01
.5120E+03,.1096E+01
.5130E+03,.1040E+01
.5140E+03,.1036E+01
.5150E+03,.1027E+01
.5160E+03,.1025E+01
.5170E+03,.9126E+00
.5180E+03,.9571E+00
.5190E+03,.1001E+01
.5200E+03,.1038E+01
.5210E+03,.1051E+01
.5220E+03,.1053E+01
.5230E+03,.1034E+01
.5240E+03,.1071E+01
.5250E+03,.1078E+01
.5260E+03,.1030E+01
.5270E+03,.9741E+00
.5280E+03,.1031E+01
.5290E+03,.1089E+01
.5300E+03,.1074E+01
.5310E+03,.1090E+01
.5320E+03,.1052E+01
.5330E+03,.1022E+01
.5340E+03,.1055E+01
.5350E+03,.1080E+01
.5360E+03,.1090E+01
.5370E+03,.1048E+01
.5380E+03,.1064E+01
.5390E+03,.1054E+01
.5400E+03,.1013E+01
.5410E+03,.1022E+01
.5420E+03,.1050E+01
.5430E+03,.1038E+01
.5440E+03,.1058E+01
.5450E+03,.1053E+01
.5460E+03,.1060E+01
.5470E+03,.1058E+01
.5480E+03,.1043E+01
.5490E+03,.1047E+01
.5500E+03,.1062E+01
.5510E+03,.1051E+01
.5520E+03,.1058E+01
.5530E+03,.1038E+01
.5540E+03,.1064E+01
.5550E+03,.1068E+01
.5560E+03,.1055E+01
.5570E+03,.1022E+01
.5580E+03,.1014E+01
.5590E+03,.9965E+00
.5600E+03,.1010E+01
.5610E+03,.1023E+01
.5620E+03,.1016E+01
.5630E+03,.1042E+01
.5640E+03,.1012E+01
.5650E+03,.1005E+01
.5660E+03,.9937E+00
.5670E+03,.1014E+01
.5680E+03,.1004E+01
.5690E+03,.9835E+00
.5700E+03,.9822E+00
.5710E+03,.9736E+00
.5720E+03,.9993E+00
.5730E+03,.1012E+01
.5740E+03,.1011E+01
.5750E+03,.9928E+00
.5760E+03,.9844E+00
.5770E+03,.9948E+00
.5780E+03,.9786E+00
.5790E+03,.9801E+00
.5800E+03,.9976E+00
.5810E+03,.1003E+01
.5820E+03,.1022E+01
.5830E+03,.1024E+01
.5840E+03,.1032E+01
.5850E+03,.1005E+01
.5860E+03,.9839E+00
.5870E+03,.1006E+01
.5880E+03,.9843E+00
.5890E+03,.8768E+00
.5900E+03,.9151E+00
.5910E+03,.9650E+00
.5920E+03,.9545E+00
.5930E+03,.9667E+00
.5940E+03,.9646E+00
.5950E+03,.9443E+00
.5960E+03,.9762E+00
.5970E+03,.9669E+00
.5980E+03,.9640E+00
.5990E+03,.9647E+00
.6000E+03,.9645E+00
.6010E+03,.9555E+00
.6020E+03,.9486E+00
.6030E+03,.9644E+00
.6040E+03,.9799E+00
.6050E+03,.9748E+00
.6060E+03,.9720E+00
.6070E+03,.9827E+00
.6080E+03,.9722E+00
.6090E+03,.9740E+00
.6100E+03,.9657E+00
.6110E+03,.9703E+00
.6120E+03,.9652E+00
.6130E+03,.9524E+00
.6140E+03,.9399E+00
.6150E+03,.9609E+00
.6160E+03,.9285E+00
.6170E+03,.9259E+00
.6180E+03,.9616E+00
.6190E+03,.9521E+00
.6200E+03,.9563E+00
.6210E+03,.9550E+00
.6220E+03,.9354E+00
.6230E+03,.9123E+00
.6240E+03,.9007E+00
.6250E+03,.9060E+00
.6260E+03,.9216E+00
.6270E+03,.9338E+00
.6280E+03,.8811E+00
.6290E+03,.9158E+00
.6300E+03,.8958E+00
.6310E+03,.9149E+00
.6320E+03,.9057E+00
.6330E+03,.9344E+00
.6340E+03,.9246E+00
.6350E+03,.9388E+00
.6360E+03,.9248E+00
.6370E+03,.9387E+00
.6380E+03,.9467E+00
.6390E+03,.9366E+00
.6400E+03,.9278E+00
.6410E+03,.9273E+00
.6420E+03,.9225E+00
.6430E+03,.9347E+00
.6440E+03,.9316E+00
.6450E+03,.9338E+00
.6460E+03,.9139E+00
.6470E+03,.9065E+00
.6480E+03,.9090E+00
.6490E+03,.8921E+00
.6500E+03,.8915E+00
.6510E+03,.9290E+00
.6520E+03,.8967E+00
.6530E+03,.9168E+00
.6540E+03,.9059E+00
.6550E+03,.8746E+00
.6560E+03,.7726E+00
.6570E+03,.7928E+00
.6580E+03,.8858E+00
.6590E+03,.8885E+00
.6600E+03,.8857E+00
.6610E+03,.8807E+00
.6620E+03,.8740E+00
.6630E+03,.8618E+00
.6640E+03,.8806E+00
.6650E+03,.8858E+00
.6660E+03,.8912E+00
.6670E+03,.8933E+00
.6680E+03,.8947E+00
.6690E+03,.9090E+00
.6700E+03,.9054E+00
.6710E+03,.9053E+00
.6720E+03,.8975E+00
.6730E+03,.9108E+00
.6740E+03,.9075E+00
.6750E+03,.8992E+00
.6760E+03,.9051E+00
.6770E+03,.8957E+00
.6780E+03,.8979E+00
.6790E+03,.8833E+00
.6800E+03,.8904E+00
.6810E+03,.8850E+00
.6820E+03,.8843E+00
.6830E+03,.8827E+00
.6840E+03,.8785E+00
.6850E+03,.8861E+00
.6860E+03,.8809E+00
.6870E+03,.6209E+00
.6880E+03,.7103E+00